timestamp,datetime,latitude,longitude,gps_accuracy_m,gps_speed_ms,gps_bearing_deg,gps_altitude_m,network_type,override_network_type,generation,is_5g,is_5g_actual,is_5g_display,nr_cell_seen,nr_serving_cell_seen,serving_cell_id,serving_pci,serving_freq_arfcn,serving_band,serving_tac,mcc,mnc,rsrp_dbm,rsrq_db,rssi_dbm,sinr_snr_db,signal_level,timing_advance_lte,csi_rsrp_dbm,csi_rsrq_db,csi_sinr_db,rx_speed_Bps,tx_speed_Bps,rx_bitrate_Mbps,tx_bitrate_Mbps,neighbor_count,nr_neighbor_count,lte_neighbor_count,neighbors_json
1778557982437,2026-05-12 12:53:02,37.5472635,127.07380266,3.7900925,1.05,15.8,44.1622314453125,LTE,NR_NSA,5G,true,false,true,false,false,51281421,458,100,1,8222,450,06,-92,-11,-61,7,3,1,,,,669,484,0.0054,0.0039,3,0,3,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":465,""earfcn"":100,""tac"":2147483647,""rsrp"":-92,""rsrq"":-10,""rssi"":-71,""snr"":2147483647,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":466,""earfcn"":100,""tac"":2147483647,""rsrp"":-101,""rsrq"":-18,""rssi"":-75,""snr"":2147483647,""ta"":1,""level"":2,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":306,""earfcn"":100,""tac"":2147483647,""rsrp"":-98,""rsrq"":-18,""rssi"":-71,""snr"":2147483647,""ta"":1,""level"":2,""bands"":""1""}]"
1778557987444,2026-05-12 12:53:07,37.5472635,127.07380266,3.7900925,1.05,15.8,44.1622314453125,LTE,NR_NSA,5G,true,false,true,false,false,51281421,458,100,1,8222,450,06,-92,-11,-61,7,3,1,,,,353,689,0.0028,0.0055,3,0,3,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":465,""earfcn"":100,""tac"":2147483647,""rsrp"":-92,""rsrq"":-10,""rssi"":-71,""snr"":2147483647,""ta"":1,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":466,""earfcn"":100,""tac"":2147483647,""rsrp"":-101,""rsrq"":-18,""rssi"":-75,""snr"":2147483647,""ta"":1,""level"":2,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":306,""earfcn"":100,""tac"":2147483647,""rsrp"":-98,""rsrq"":-18,""rssi"":-71,""snr"":2147483647,""ta"":1,""level"":2,""bands"":""1""}]"
1778557992454,2026-05-12 12:53:12,37.5472635,127.07380266,3.7900925,1.05,15.8,44.1622314453125,LTE,NR_NSA,5G,true,false,true,false,false,51281423,465,100,1,8222,450,06,-82,-15,-51,-4,4,0,,,,2899,941,0.0232,0.0075,2,0,2,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":458,""earfcn"":100,""tac"":2147483647,""rsrp"":-91,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":466,""earfcn"":100,""tac"":2147483647,""rsrp"":-87,""rsrq"":-17,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""}]"
1778557997466,2026-05-12 12:53:17,37.5472635,127.07380266,3.7900925,1.05,15.8,44.1622314453125,LTE,NR_NSA,5G,true,false,true,false,false,51281423,465,100,1,8222,450,06,-82,-15,-51,-4,4,0,,,,895,885,0.0072,0.0071,2,0,2,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":458,""earfcn"":100,""tac"":2147483647,""rsrp"":-91,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":466,""earfcn"":100,""tac"":2147483647,""rsrp"":-87,""rsrq"":-17,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""}]"
1778558002478,2026-05-12 12:53:22,37.5472635,127.07380266,3.7900925,1.05,15.8,44.1622314453125,LTE,NR_NSA,5G,true,false,true,false,false,51281423,465,100,1,8222,450,06,-82,-15,-51,-4,4,0,,,,820,827,0.0066,0.0066,2,0,2,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":458,""earfcn"":100,""tac"":2147483647,""rsrp"":-91,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":466,""earfcn"":100,""tac"":2147483647,""rsrp"":-87,""rsrq"":-17,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""}]"
1778558007484,2026-05-12 12:53:27,37.5472635,127.07380266,3.7900925,1.05,15.8,44.1622314453125,LTE,NR_NSA,5G,true,false,true,false,false,51281423,465,100,1,8222,450,06,-82,-15,-51,-4,4,0,,,,5166,1203,0.0413,0.0096,2,0,2,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":458,""earfcn"":100,""tac"":2147483647,""rsrp"":-91,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":466,""earfcn"":100,""tac"":2147483647,""rsrp"":-87,""rsrq"":-17,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""}]"
1778558012497,2026-05-12 12:53:32,37.5472635,127.07380266,3.7900925,1.05,15.8,44.1622314453125,LTE,NR_NSA,5G,true,false,true,false,false,51281423,465,100,1,8222,450,06,-82,-15,-51,-4,4,0,,,,269297,16980,2.1544,0.1358,2,0,2,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":458,""earfcn"":100,""tac"":2147483647,""rsrp"":-91,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":466,""earfcn"":100,""tac"":2147483647,""rsrp"":-87,""rsrq"":-17,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""}]"
1778558017508,2026-05-12 12:53:37,37.5472635,127.07380266,3.7900925,1.05,15.8,44.1622314453125,LTE,NR_NSA,5G,true,false,true,false,false,51281423,465,100,1,8222,450,06,-82,-15,-51,-4,4,0,,,,181664,4173,1.4533,0.0334,2,0,2,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":458,""earfcn"":100,""tac"":2147483647,""rsrp"":-91,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":466,""earfcn"":100,""tac"":2147483647,""rsrp"":-87,""rsrq"":-17,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""}]"
1778558022516,2026-05-12 12:53:42,37.5472635,127.07380266,3.7900925,1.05,15.8,44.1622314453125,LTE,NR_NSA,5G,true,false,true,false,false,51281423,465,100,1,8222,450,06,-82,-15,-51,-4,4,0,,,,12643,2362,0.1011,0.0189,2,0,2,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":458,""earfcn"":100,""tac"":2147483647,""rsrp"":-91,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":466,""earfcn"":100,""tac"":2147483647,""rsrp"":-87,""rsrq"":-17,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""}]"
1778558027530,2026-05-12 12:53:47,37.5472635,127.07380266,3.7900925,1.05,15.8,44.1622314453125,LTE,NR_NSA,5G,true,false,true,false,false,51281423,465,100,1,8222,450,06,-82,-15,-51,-4,4,0,,,,5730,2158,0.0458,0.0173,2,0,2,"[{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":458,""earfcn"":100,""tac"":2147483647,""rsrp"":-91,""rsrq"":-20,""rssi"":-51,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""},{""type"":""LTE"",""cell_id"":""2147483647"",""pci"":466,""earfcn"":100,""tac"":2147483647,""rsrp"":-87,""rsrq"":-17,""rssi"":-53,""snr"":2147483647,""ta"":0,""level"":3,""bands"":""1""}]"
