timestamp,datetime,latitude,longitude,gps_accuracy_m,network_type,is_5g,serving_cell_id,rsrp_dbm,rsrq_db,rssi_dbm,sinr_db,signal_level,rx_speed_bps,tx_speed_bps,neighbor_count,neighbors_json
1778053133503,2026-05-06 16:38:53,37.6114958,127.19030924,3.7900925,LTE,false,51190786,-93,-10,-65,13,3,0,0,8,"[{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-96,""rsrq"":-10,""level"":2},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-97,""rsrq"":-9,""level"":2},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-110,""rsrq"":-20,""level"":1},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-105,""rsrq"":-15,""level"":2},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-83,""rsrq"":-13,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-92,""rsrq"":-17,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-94,""rsrq"":-19,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-98,""rsrq"":-20,""level"":2}]"
1778053138513,2026-05-06 16:38:58,37.61089046,127.19018211,3.7900925,LTE,false,51115011,-75,-10,-51,15,4,3756,9333,9,"[{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-84,""rsrq"":-14,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-75,""rsrq"":-8,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-101,""rsrq"":-19,""level"":2},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-84,""rsrq"":-15,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-76,""rsrq"":-14,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-78,""rsrq"":-14,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-89,""rsrq"":-18,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-84,""rsrq"":-19,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-84,""rsrq"":-20,""level"":4}]"
1778053143526,2026-05-06 16:39:03,37.61068173,127.19012827,3.7900925,LTE,false,51115011,-73,-6,-51,20,4,253184,2342,6,"[{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-78,""rsrq"":-11,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-73,""rsrq"":-8,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-84,""rsrq"":-15,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-75,""rsrq"":-13,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-78,""rsrq"":-12,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-82,""rsrq"":-19,""level"":4}]"
1778053148535,2026-05-06 16:39:08,37.61035716,127.1901155,3.7900925,LTE,false,51115011,-76,-7,-51,23,4,14741,7378,5,"[{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-90,""rsrq"":-14,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-77,""rsrq"":-6,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-86,""rsrq"":-14,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-79,""rsrq"":-10,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-86,""rsrq"":-17,""level"":3}]"
1778053153543,2026-05-06 16:39:13,37.61015075,127.19022266,3.7900925,LTE,false,51115011,-80,-6,-51,19,4,282541,13371,5,"[{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-96,""rsrq"":-15,""level"":2},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-106,""rsrq"":-20,""level"":1},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-75,""rsrq"":-7,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-82,""rsrq"":-11,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-92,""rsrq"":-16,""level"":3}]"
1778053158554,2026-05-06 16:39:18,37.60997867,127.19030807,5.380198,LTE,false,51115011,-71,-6,-51,18,4,598700,4772,4,"[{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-77,""rsrq"":-8,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-78,""rsrq"":-11,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-90,""rsrq"":-17,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-96,""rsrq"":-20,""level"":2}]"
1778053163561,2026-05-06 16:39:23,37.60988901,127.19019138,3.7900925,LTE,false,51115011,-66,-6,-51,24,4,266349,11894,3,"[{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-76,""rsrq"":-7,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-75,""rsrq"":-10,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-83,""rsrq"":-19,""level"":4}]"
1778053168569,2026-05-06 16:39:28,37.60972226,127.1898704,3.7900925,LTE,false,51115011,-79,-7,-51,20,4,303435,5228,6,"[{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-89,""rsrq"":-16,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-89,""rsrq"":-16,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-76,""rsrq"":-7,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-82,""rsrq"":-11,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-92,""rsrq"":-20,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-83,""rsrq"":-14,""level"":4}]"
1778053173582,2026-05-06 16:39:33,37.60950813,127.18943779,3.7900925,LTE,false,51115011,-77,-6,-51,16,4,127937,21211,5,"[{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-94,""rsrq"":-18,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-74,""rsrq"":-9,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-79,""rsrq"":-7,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-94,""rsrq"":-18,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-89,""rsrq"":-16,""level"":3}]"
1778053178589,2026-05-06 16:39:38,37.60934757,127.18914367,3.7900925,LTE,false,51115011,-85,-10,-57,16,4,1193340,29168,4,"[{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-85,""rsrq"":-11,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-78,""rsrq"":-6,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-73,""rsrq"":-12,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-71,""rsrq"":-12,""level"":4}]"
