timestamp,datetime,latitude,longitude,gps_accuracy_m,network_type,is_5g,serving_cell_id,rsrp_dbm,rsrq_db,rssi_dbm,sinr_db,signal_level,rx_speed_bps,tx_speed_bps,neighbor_count,neighbors_json
1778021760614,2026-05-06 07:56:00,37.5509427,127.07440073,3.7900925,LTE,false,52550416,-89,-10,-57,13,3,110,108,6,"[{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-91,""rsrq"":-13,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-77,""rsrq"":-13,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-80,""rsrq"":-15,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-85,""rsrq"":-20,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-95,""rsrq"":-10,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-94,""rsrq"":-11,""level"":3}]"
1778021765623,2026-05-06 07:56:05,37.5509427,127.07440073,3.7900925,LTE,false,52550416,-89,-10,-57,13,3,0,0,6,"[{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-91,""rsrq"":-13,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-77,""rsrq"":-13,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-80,""rsrq"":-15,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-85,""rsrq"":-20,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-95,""rsrq"":-10,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-94,""rsrq"":-11,""level"":3}]"
1778021770628,2026-05-06 07:56:10,37.5509427,127.07440073,3.7900925,LTE,false,52550416,-89,-11,-59,9,3,77,36,5,"[{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-94,""rsrq"":-10,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-82,""rsrq"":-13,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-84,""rsrq"":-15,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-90,""rsrq"":-10,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-94,""rsrq"":-14,""level"":3}]"
1778021775632,2026-05-06 07:56:15,37.5509427,127.07440073,3.7900925,LTE,false,52550416,-89,-11,-59,9,3,2164,1323,5,"[{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-94,""rsrq"":-10,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-82,""rsrq"":-13,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-84,""rsrq"":-15,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-90,""rsrq"":-10,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-94,""rsrq"":-14,""level"":3}]"
1778021780639,2026-05-06 07:56:20,37.5509427,127.07440073,3.7900925,LTE,false,52550416,-89,-11,-59,9,3,1449,2059,5,"[{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-94,""rsrq"":-10,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-82,""rsrq"":-13,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-84,""rsrq"":-15,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-90,""rsrq"":-10,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-94,""rsrq"":-14,""level"":3}]"
1778021785643,2026-05-06 07:56:25,37.5509427,127.07440073,3.7900925,LTE,false,52550416,-89,-11,-59,9,3,110,108,5,"[{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-94,""rsrq"":-10,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-82,""rsrq"":-13,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-84,""rsrq"":-15,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-90,""rsrq"":-10,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-94,""rsrq"":-14,""level"":3}]"
1778021790649,2026-05-06 07:56:30,37.5509427,127.07440073,3.7900925,LTE,false,52550416,-89,-11,-59,9,3,0,0,5,"[{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-94,""rsrq"":-10,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-82,""rsrq"":-13,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-84,""rsrq"":-15,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-90,""rsrq"":-10,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-94,""rsrq"":-14,""level"":3}]"
1778021795655,2026-05-06 07:56:35,37.5509427,127.07440073,3.7900925,LTE,false,52559136,-86,-7,-55,7,3,115,182,7,"[{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-92,""rsrq"":-12,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-80,""rsrq"":-8,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-82,""rsrq"":-9,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-88,""rsrq"":-13,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-92,""rsrq"":-10,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-93,""rsrq"":-13,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-100,""rsrq"":-17,""level"":2}]"
1778021800662,2026-05-06 07:56:40,37.5509427,127.07440073,3.7900925,LTE,false,52559136,-86,-7,-55,7,3,12803,6746,7,"[{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-92,""rsrq"":-12,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-80,""rsrq"":-8,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-82,""rsrq"":-9,""level"":4},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-88,""rsrq"":-13,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-92,""rsrq"":-10,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-93,""rsrq"":-13,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-100,""rsrq"":-17,""level"":2}]"
1778021805672,2026-05-06 07:56:45,37.5509427,127.07440073,3.7900925,LTE,false,52550416,-101,-10,-69,,2,0,0,7,"[{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-106,""rsrq"":-11,""level"":1},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-90,""rsrq"":-9,""level"":3},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-96,""rsrq"":-12,""level"":2},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-98,""rsrq"":-17,""level"":2},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-108,""rsrq"":-9,""level"":1},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-112,""rsrq"":-11,""level"":1},{""type"":""LTE"",""cell_id"":""2147483647"",""rsrp"":-115,""rsrq"":-17,""level"":1}]"
